epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,2.38579718081,0.226897462169,2.3465977822,0.296316964286,-1,-1
1,2.19719583751,0.415195460277,2.29604085286,0.366164434524,-1,-1
2,2.11519519458,0.533364859185,2.28372677451,0.403552827381,-1,-1
3,2.07027520112,0.585339822404,2.27559959321,0.413225446429,-1,-1
4,2.04369627873,0.61600528058,2.27922393594,0.4140625,-1,-1
5,2.02650457708,0.634704051072,2.27732488655,0.41834077381,-1,-1
6,2.01388487123,0.650398013871,2.27829520191,0.416294642857,-1,-1
7,2.00379720151,0.661629098361,2.28393432356,0.407924107143,-1,-1
8,1.99591048924,0.67170095103,2.27930971271,0.413039434524,-1,-1
9,1.98975337609,0.678863230349,2.28365606637,0.412574404762,-1,-1
10,1.98410647784,0.685444251786,2.28545834337,0.408389136905,-1,-1
11,1.97961265513,0.69301702396,2.28891973552,0.415736607143,-1,-1
12,1.97685883535,0.696629361076,2.29036338556,0.403645833333,-1,-1
13,1.97269561898,0.701824558638,2.29368958871,0.406436011905,-1,-1
14,1.96960602693,0.705597808953,2.2931869995,0.40978422619,-1,-1
15,1.96708310673,0.710829129887,2.29051767928,0.404296875,-1,-1
16,1.96471461843,0.714572824716,2.2962871279,0.406808035714,-1,-1
17,1.96266095565,0.716700819672,2.29515912987,0.400204613095,-1,-1
18,1.96052771654,0.718736864229,2.297854696,0.402250744048,-1,-1
19,1.95881975474,0.722217843632,2.29407875027,0.40234375,-1,-1
20,1.95761146551,0.723797420135,2.29868377958,0.402064732143,-1,-1
21,1.9563771581,0.725432823665,2.2959427493,0.40076264881,-1,-1
22,1.95547467122,0.724956651955,2.29643311387,0.401506696429,-1,-1
23,1.95422934138,0.727866225305,2.29730810154,0.397693452381,-1,-1
24,1.95269576408,0.731547525221,2.30001796427,0.397042410714,-1,-1
25,1.95192581819,0.733879124632,2.30234311876,0.3984375,-1,-1
26,1.95080302492,0.734099148802,2.30308500358,0.401041666667,-1,-1
27,1.94976196298,0.735793663304,2.30444761117,0.395275297619,-1,-1
28,1.95024460602,0.735504676335,2.30088750805,0.400855654762,-1,-1
29,1.94937305868,0.734818332282,2.30062040829,0.398344494048,-1,-1
30,1.94871720154,0.7383157314,2.30229724021,0.400576636905,-1,-1
31,1.94864026926,0.738240200715,2.30457580373,0.397042410714,-1,-1
32,1.94799566394,0.738256620429,2.30406716324,0.402064732143,-1,-1
33,1.94722565321,0.73903491488,2.30285949934,0.396019345238,-1,-1
34,1.94747012621,0.739655580076,2.30373417763,0.399832589286,-1,-1
35,1.94731363467,0.740998712694,2.31043021168,0.39295014881,-1,-1
36,1.9461091166,0.742207203657,2.30840757063,0.390625,-1,-1
37,1.94654111639,0.740880490752,2.30796664386,0.397507440476,-1,-1
38,1.94614753411,0.742440363598,2.30853996107,0.388764880952,-1,-1
39,1.94537123721,0.743560188104,2.31303216162,0.394252232143,-1,-1
40,1.94504792934,0.743330312106,2.30874387991,0.394066220238,-1,-1
41,1.94548355942,0.742726066625,2.30852544875,0.391555059524,-1,-1
42,1.94549839479,0.742988782051,2.30626235406,0.391834077381,-1,-1
43,1.94600403564,0.741290983607,2.31025077899,0.386532738095,-1,-1
44,1.94602651278,0.741228588693,2.30783396392,0.395182291667,-1,-1
45,1.94552307076,0.743051176965,2.30920409305,0.393787202381,-1,-1
46,1.94620427974,0.739813209332,2.30666545743,0.389601934524,-1,-1
47,1.94553011453,0.741228588693,2.30449782099,0.395554315476,-1,-1
48,1.94573371793,0.740525824926,2.30965096894,0.39220610119,-1,-1
49,1.94583864636,0.740814811896,2.30967467172,0.390345982143,-1,-1
test set performance,-1,-1,-1,-1,2.26731994606,0.418805803571
